k_max,alfa,lamda,f,obj1_cdor_dist_to_0.1,obj2_wdor,obj3_caer_dist_to_0.1,obj4_waer,obj5_time
5,0.768831994380248,0.7091636858649769,1.4008129952123802,1.0,1.0,1.0,1.0,1000.0
7,0.3212633162803953,0.4836694408424691,0.8241575383806863,1.0,1.0,1.0,1.0,1000.0
4,0.768831994380248,0.8393951302691629,0.8197840027930057,1.0,1.0,1.0,1.0,1000.0
10,0.5468442903935455,0.1255127288698057,1.3357651039198697,1.0,1.0,1.0,1.0,1000.0
4,0.4094648333117378,0.8941538822198172,0.7552161181522935,1.0,1.0,1.0,1.0,1000.0
10,0.5468442903935455,0.4836694408424691,0.9958122413818506,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.4798962999652737,1.330035693274327,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.3776764842349579,1.3483015744625606,1.0,1.0,1.0,1.0,1000.0
3,0.6938415025759718,0.4836694408424691,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
5,0.41113037323787727,0.7091636858649769,1.4008129952123802,1.0,1.0,1.0,1.0,1000.0
7,0.954747338969342,0.202771581122809,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
7,0.768831994380248,0.4798962999652737,1.330035693274327,1.0,1.0,1.0,1.0,1000.0
5,0.1844736280968114,0.2958313052801863,1.0607173210286938,1.0,1.0,1.0,1.0,1000.0
5,0.37303165983962583,0.4836694408424691,1.3824790008318577,1.0,1.0,1.0,1.0,1000.0
5,0.1844736280968114,0.1255127288698057,1.4008129952123802,1.0,1.0,1.0,1.0,1000.0
6,0.1844736280968114,0.2958313052801863,1.4008129952123802,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.1255127288698057,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
8,0.4640093815505094,0.2507232766126317,1.3338048878964948,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.25173486733447537,0.8948980098582996,1.0,1.0,1.0,1.0,1000.0
3,0.5458915783827468,0.5856557036048009,1.3602897789205497,1.0,1.0,1.0,1.0,1000.0
2,0.4453206696010359,0.21735201558196715,1.0607173210286938,1.0,1.0,1.0,1.0,1000.0
8,0.36646540577483644,0.8393951302691629,0.8063866203332459,1.0,1.0,1.0,1.0,1000.0
7,0.954747338969342,0.202771581122809,0.8241575383806863,1.0,1.0,1.0,1.0,1000.0
8,0.768831994380248,0.2627055941142735,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
3,0.5458915783827468,0.5856557036048009,1.3602897789205497,1.0,1.0,1.0,1.0,1000.0
7,0.954747338969342,0.6973820243595826,0.6079312620940999,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.8941538822198172,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
3,0.6938415025759718,0.4836694408424691,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.2507232766126317,1.3338048878964948,1.0,1.0,1.0,1.0,1000.0
2,0.13565819207233404,0.12290127489411473,1.1178068800115557,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.19853976456492345,1.1248020841524764,1.0,1.0,1.0,1.0,1000.0
5,0.9427965281195136,0.1255127288698057,1.3357651039198697,1.0,1.0,1.0,1.0,1000.0
7,0.5468442903935455,0.4836694408424691,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.9721365852646895,1.2258526014465152,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.8941538822198172,1.3338048878964948,1.0,1.0,1.0,1.0,1000.0
10,0.9427965281195136,0.4798962999652737,0.9849251122277342,1.0,1.0,1.0,1.0,1000.0
6,0.32460330308808055,0.19853976456492345,1.1248020841524764,1.0,1.0,1.0,1.0,1000.0
5,0.4640093815505094,0.12290127489411473,1.0414124727934966,1.0,1.0,1.0,1.0,1000.0
7,0.5011016647081454,0.202771581122809,0.8120049267005705,1.0,1.0,1.0,1.0,1000.0
7,0.768831994380248,0.4836694408424691,0.8241575383806863,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.9721365852646895,1.2258526014465152,1.0,1.0,1.0,1.0,1000.0
7,0.41113037323787727,0.19853976456492345,1.1248020841524764,1.0,1.0,1.0,1.0,1000.0
4,0.44350855728229804,0.8393951302691629,0.8197840027930057,1.0,1.0,1.0,1.0,1000.0
4,0.9711129791358002,0.25173486733447537,1.1151860325590366,1.0,1.0,1.0,1.0,1000.0
4,0.5956806385965256,0.5329916356728162,0.7552161181522935,1.0,1.0,1.0,1.0,1000.0
9,0.3008762022220037,0.6833825241061369,0.7944927770994724,1.0,1.0,1.0,1.0,1000.0
7,0.5468442903935455,0.4836694408424691,0.8241575383806863,1.0,1.0,1.0,1.0,1000.0
9,0.3008762022220037,0.6836557762893307,0.9802269730176029,1.0,1.0,1.0,1.0,1000.0
9,0.3008762022220037,0.25173486733447537,0.8948980098582996,1.0,1.0,1.0,1.0,1000.0
7,0.4788268112881683,0.19853976456492345,1.1248020841524764,1.0,1.0,1.0,1.0,1000.0
8,0.5956806385965256,0.2627055941142735,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
